Count,Date,Hour,Temperature,Humidity,Wind,Visibility,Dew,Solar,Rainfall,Snowfall,Seasons,Holiday,Functioning,ID
254,1/12/2017,0,-5.2,37,2.2,2000,-17.6,0,0,0,Winter,No Holiday,Yes,840931
204,1/12/2017,1,-5.5,38,0.8,2000,-17.6,0,0,0,Winter,No Holiday,Yes,595962
173,1/12/2017,2,-6,39,1,2000,-17.7,0,0,0,Winter,No Holiday,Yes,227307
107,1/12/2017,3,-6.2,40,0.9,2000,-17.6,0,0,0,Winter,No Holiday,Yes,791613
78,1/12/2017,4,-6,36,2.3,2000,-18.6,0,0,0,Winter,No Holiday,Yes,199455
100,1/12/2017,5,-6.4,37,1.5,2000,-18.7,0,0,0,Winter,No Holiday,Yes,272783
181,1/12/2017,6,-6.6,35,1.3,2000,-19.5,0,0,0,Winter,No Holiday,Yes,459399
460,1/12/2017,7,-7.4,38,0.9,2000,-19.3,0,0,0,Winter,No Holiday,Yes,701170
930,1/12/2017,8,-7.6,37,1.1,2000,-19.8,0.01,0,0,Winter,No Holiday,Yes,276677
490,1/12/2017,9,-6.5,27,0.5,1928,-22.4,0.23,0,0,Winter,No Holiday,Yes,747716
339,1/12/2017,10,-3.5,24,1.2,1996,-21.2,0.65,0,0,Winter,No Holiday,Yes,521303
360,1/12/2017,11,-0.5,21,1.3,1936,-20.2,0.94,0,0,Winter,No Holiday,Yes,235530
449,1/12/2017,12,1.7,23,1.4,2000,-17.2,1.11,0,0,Winter,No Holiday,Yes,735589
451,1/12/2017,13,2.4,25,1.6,2000,-15.6,1.16,0,0,Winter,No Holiday,Yes,909362
447,1/12/2017,14,3,26,2,2000,-14.6,1.01,0,0,Winter,No Holiday,Yes,687715
463,1/12/2017,15,2.1,36,3.2,2000,-11.4,0.54,0,0,Winter,No Holiday,Yes,503858
484,1/12/2017,16,1.2,54,4.2,793,-7,0.24,0,0,Winter,No Holiday,Yes,716673
555,1/12/2017,17,0.8,58,1.6,2000,-6.5,0.08,0,0,Winter,No Holiday,Yes,581059
862,1/12/2017,18,0.6,66,1.4,2000,-5,0,0,0,Winter,No Holiday,Yes,982740
600,1/12/2017,19,0,77,1.7,2000,-3.5,0,0,0,Winter,No Holiday,Yes,250770
426,1/12/2017,20,-0.3,79,1.5,1913,-3.5,0,0,0,Winter,No Holiday,Yes,245476
405,1/12/2017,21,-0.8,81,0.8,1687,-3.6,0,0,0,Winter,No Holiday,Yes,293342
398,1/12/2017,22,-0.9,83,1.5,1380,-3.4,0,0,0,Winter,No Holiday,Yes,569629
323,1/12/2017,23,-1.3,84,1,1265,-3.6,0,0,0,Winter,No Holiday,Yes,342468
328,2/12/2017,0,-1.8,87,1.1,994,-3.6,0,0,0,Winter,No Holiday,Yes,216697
308,2/12/2017,1,-2.2,86,0.6,990,-4.2,0,0,0,Winter,No Holiday,Yes,162706
262,2/12/2017,2,-2.9,86,1.5,1256,-4.9,0,0,0,Winter,No Holiday,Yes,568680
167,2/12/2017,3,-3.5,81,2.2,1221,-6.2,0,0,0,Winter,No Holiday,Yes,745604
89,2/12/2017,4,-3.8,79,2,1167,-6.9,0,0,0,Winter,No Holiday,Yes,784702
79,2/12/2017,5,-4,79,1.5,1202,-7.1,0,0,0,Winter,No Holiday,Yes,875442
70,2/12/2017,6,-4.3,82,2.1,1178,-6.9,0,0,0,Winter,No Holiday,Yes,852365
146,2/12/2017,7,-4.4,81,2.5,1276,-7.1,0,0,0,Winter,No Holiday,Yes,249539
219,2/12/2017,8,-4.2,79,2.1,1436,-7.3,0.01,0,0,Winter,No Holiday,Yes,778416
328,2/12/2017,9,-2.9,68,1.6,1487,-7.9,0.3,0,0,Winter,No Holiday,Yes,225289
334,2/12/2017,10,-0.4,57,1.6,1309,-7.8,0.8,0,0,Winter,No Holiday,Yes,735658
388,2/12/2017,11,1.9,49,1.8,1406,-7.7,1,0,0,Winter,No Holiday,Yes,464097
479,2/12/2017,12,4.3,41,1.3,1666,-7.8,1.09,0,0,Winter,No Holiday,Yes,260521
606,2/12/2017,13,6,36,1.8,1780,-7.9,1.12,0,0,Winter,No Holiday,Yes,233231
611,2/12/2017,14,7.3,35,1.3,1955,-7.1,0.99,0,0,Winter,No Holiday,Yes,924320
589,2/12/2017,15,7.6,41,2.3,1953,-4.8,0.74,0,0,Winter,No Holiday,Yes,386260
618,2/12/2017,16,6.4,48,2.6,1945,-3.8,0.22,0,0,Winter,No Holiday,Yes,377488
572,2/12/2017,17,6,51,2.5,1891,-3.3,0.06,0,0,Winter,No Holiday,Yes,851913
489,2/12/2017,18,5.5,53,1.5,1697,-3.3,0,0,0,Winter,No Holiday,Yes,903495
385,2/12/2017,19,5,52,2.3,1666,-4,0,0,0,Winter,No Holiday,Yes,192775
359,2/12/2017,20,4.6,51,1.2,1585,-4.6,0,0,0,Winter,No Holiday,Yes,820934
377,2/12/2017,21,4.1,55,1.2,1448,-4.1,0,0,0,Winter,No Holiday,Yes,514597
354,2/12/2017,22,3.5,54,1.5,1446,-4.9,0,0,0,Winter,No Holiday,Yes,569965
366,2/12/2017,23,4,56,1,1352,-4,0,0,0,Winter,No Holiday,Yes,238365
342,3/12/2017,0,4,58,1.4,1296,-3.5,0,0,0,Winter,No Holiday,Yes,208862
227,3/12/2017,1,3.9,69,1.7,485,-1.2,0,0,0,Winter,No Holiday,Yes,237257
228,3/12/2017,2,3.3,79,1.4,830,0,0,0,0,Winter,No Holiday,Yes,176764
117,3/12/2017,3,3.4,71,1.6,1011,-1.3,0,0.5,0,Winter,No Holiday,Yes,308315
76,3/12/2017,4,3.5,73,1,1060,-0.8,0,0,0,Winter,No Holiday,Yes,987632
32,3/12/2017,5,3.9,75,1.9,914,-0.1,0,0,0,Winter,No Holiday,Yes,623869
13,3/12/2017,6,3.4,86,2.5,278,1.2,0,1,0,Winter,No Holiday,Yes,497407
22,3/12/2017,7,3.1,91,1.2,129,1.7,0,0,0,Winter,No Holiday,Yes,528010
85,3/12/2017,8,3.2,92,1.8,244,2,0,0,0,Winter,No Holiday,Yes,868536
152,3/12/2017,9,3.5,91,1.8,231,2.1,0.02,2.5,0,Winter,No Holiday,Yes,769912
200,3/12/2017,10,4.4,89,2.2,257,2.7,0.24,0,0,Winter,No Holiday,Yes,231483
273,3/12/2017,11,5.1,87,1.4,321,3.1,0.25,0,0,Winter,No Holiday,Yes,236117
333,3/12/2017,12,5.8,85,1.7,349,3.4,0.43,0,0,Winter,No Holiday,Yes,430931
495,3/12/2017,13,6.8,81,1.9,390,3.7,0.6,0,0,Winter,No Holiday,Yes,813983
563,3/12/2017,14,7.6,76,1.2,422,3.6,0.69,0,0,Winter,No Holiday,Yes,534596
621,3/12/2017,15,8,73,1.6,433,3.4,0.53,0,0,Winter,No Holiday,Yes,248182
598,3/12/2017,16,7.6,77,1.6,399,3.8,0.2,0,0,Winter,No Holiday,Yes,495504
545,3/12/2017,17,6.7,82,1.5,358,3.8,0.05,0,0,Winter,No Holiday,Yes,133820
443,3/12/2017,18,6,84,1.9,327,3.4,0,0,0,Winter,No Holiday,Yes,643054
422,3/12/2017,19,5.7,85,1.7,309,3.3,0,0,0,Winter,No Holiday,Yes,978716
397,3/12/2017,20,5.2,87,1.4,253,3.2,0,0,0,Winter,No Holiday,Yes,552782
385,3/12/2017,21,4.7,87,1.2,247,2.7,0,0,0,Winter,No Holiday,Yes,115621
350,3/12/2017,22,4.3,89,1.8,201,2.6,0,0,0,Winter,No Holiday,Yes,567906
303,3/12/2017,23,3.9,90,1.3,194,2.4,0,0,0,Winter,No Holiday,Yes,837320
285,4/12/2017,0,4.2,88,0.6,216,2.3,0,0,0,Winter,No Holiday,Yes,887026
186,4/12/2017,1,4.3,87,0.5,221,2.3,0,0,0,Winter,No Holiday,Yes,612887
112,4/12/2017,2,4.4,87,1.8,207,2.4,0,0,0,Winter,No Holiday,Yes,623099
65,4/12/2017,3,3.6,85,2.3,206,1.3,0,0,0,Winter,No Holiday,Yes,171525
41,4/12/2017,4,2.8,89,1.5,130,1.1,0,0,0,Winter,No Holiday,Yes,682670
82,4/12/2017,5,2,83,2.7,253,-0.5,0,0,0,Winter,No Holiday,Yes,861197
200,4/12/2017,6,1.2,76,3.7,371,-2.5,0,0.1,0,Winter,No Holiday,Yes,124254
